"longitude","latitude","reconstruction_log_probability","percentile"
12.57765369,54.94932413,-5.0523362159729,"25-50"
14.37765369,54.84932413,-5.23856353759766,"25-50"
20.67765369,55.24932413,-4.98345518112183,"25-50"
20.87765369,55.44932413,-6.62749528884888,"0-25"
18.07765369,55.04932413,-5.54526853561401,"0-25"
17.97765369,54.94932413,-5.30119323730469,"25-50"
11.07765369,54.94932413,-5.04676723480225,"25-50"
17.47765369,55.54932413,-7.5700626373291,"0-25"
10.07765369,55.64932413,-5.20624494552612,"25-50"
10.77765369,56.94932413,-5.12596225738525,"25-50"
20.97765369,55.84932413,-5.32677268981934,"25-50"
20.87765369,56.44932413,-6.68991994857788,"0-25"
11.67765369,56.94932413,-6.11525058746338,"0-25"
12.27765369,54.44932413,-5.2202672958374,"25-50"
20.37765369,55.94932413,-7.62669134140015,"0-25"
14.97765369,55.44932413,-9.4579496383667,"0-25"
11.07765369,55.24932413,-7.25853776931763,"0-25"
10.47765369,57.04932413,-5.36796045303345,"0-25"
9.677653694,55.44932413,-5.5755352973938,"0-25"
10.87765369,56.94932413,-5.29664707183838,"25-50"
20.87765369,56.34932413,-6.72575950622559,"0-25"
18.07765369,54.94932413,-5.42213439941406,"0-25"
10.77765369,55.44932413,-5.2847695350647,"25-50"
10.57765369,54.84932413,-5.46832847595215,"0-25"
11.07765369,55.44932413,-5.26757049560547,"25-50"
11.17765369,55.04932413,-5.05612802505493,"25-50"
20.97765369,55.94932413,-5.31825494766235,"25-50"
11.27765369,56.44932413,-5.44148731231689,"0-25"
14.47765369,54.74932413,-5.27034616470337,"25-50"
20.97765369,56.04932413,-5.33358383178711,"25-50"
11.87765369,56.44932413,-9.1932201385498,"0-25"
20.87765369,56.14932413,-5.24900197982788,"25-50"
20.67765369,56.24932413,-6.71324586868286,"0-25"
10.87765369,54.84932413,-7.32852506637573,"0-25"
20.67765369,55.94932413,-5.24352169036865,"25-50"
20.87765369,56.04932413,-5.1517333984375,"25-50"
20.77765369,56.24932413,-6.67083501815796,"0-25"
11.37765369,56.74932413,-5.02191781997681,"25-50"
20.77765369,56.14932413,-5.15430068969727,"25-50"
17.37765369,55.54932413,-7.57244682312012,"0-25"
10.97765369,54.84932413,-6.60923719406128,"0-25"
20.77765369,56.04932413,-5.23428440093994,"25-50"
11.57765369,56.54932413,-6.28620386123657,"0-25"
11.57765369,56.24932413,-5.4278998374939,"0-25"
11.47765369,56.64932413,-5.59885358810425,"0-25"
20.67765369,56.34932413,-6.81792831420898,"0-25"
18.17765369,54.84932413,-5.18798732757568,"25-50"
13.17765369,54.94932413,-5.48767948150635,"0-25"
11.47765369,54.54932413,-5.33243322372437,"25-50"
20.57765369,55.94932413,-7.98221397399902,"0-25"
11.87765369,56.74932413,-8.50567626953125,"0-25"
11.47765369,55.04932413,-5.11278390884399,"25-50"
11.57765369,54.94932413,-5.06476306915283,"25-50"
14.47765369,54.84932413,-7.61436986923218,"0-25"
14.37765369,54.74932413,-5.12318897247314,"25-50"
11.67765369,54.94932413,-5.05163335800171,"25-50"
11.67765369,55.04932413,-5.06220865249634,"25-50"
11.27765369,54.24932413,-7.27708435058594,"0-25"
11.17765369,56.44932413,-5.32300281524658,"25-50"
11.17765369,54.34932413,-7.21073198318481,"0-25"
10.87765369,55.84932413,-6.92952823638916,"0-25"
11.07765369,56.34932413,-5.6727499961853,"0-25"
20.47765369,55.94932413,-7.57314682006836,"0-25"
11.07765369,56.64932413,-5.21437978744507,"25-50"
10.97765369,54.54932413,-7.5736083984375,"0-25"
11.37765369,57.24932413,-7.07945919036865,"0-25"
11.87765369,56.24932413,-5.34548759460449,"25-50"
18.27765369,54.84932413,-5.14690399169922,"25-50"
20.57765369,56.04932413,-5.12240076065063,"25-50"
11.17765369,55.44932413,-5.12545347213745,"25-50"
11.27765369,57.04932413,-7.48023176193237,"0-25"
15.37765369,54.44932413,-5.90357732772827,"0-25"
11.27765369,54.64932413,-5.38330078125,"0-25"
15.27765369,54.44932413,-8.19376277923584,"0-25"
15.17765369,54.44932413,-8.00817775726318,"0-25"
10.87765369,54.64932413,-6.14833641052246,"0-25"
10.87765369,54.74932413,-6.02809762954712,"0-25"
16.87765369,54.94932413,-5.08989524841309,"25-50"
11.77765369,56.24932413,-5.13101291656494,"25-50"
20.47765369,56.04932413,-7.42837238311768,"0-25"
16.67765369,55.24932413,-7.22079610824585,"0-25"
